Ticker,Company Name,CEO Name,Start Date,End Date,Source,Validation URL
AAMI,Acadian Asset Management Inc.,Guang Yang,,2020-04-15,8-K,https://www.sec.gov/Archives/edgar/data/1748824/000174882420000014/bsig-form8xkxranaceoap.htm
AAMI,Acadian Asset Management Inc.,Suren Rana,2020-04-15,2024-12-31,8-K,https://www.sec.gov/Archives/edgar/data/1748824/000174882420000014/bsig-form8xkxranaceoap.htm
AAMI,Acadian Asset Management Inc.,Kelly Young,2025-01-01,Present,8-K,https://www.sec.gov/Archives/edgar/data/1748824/000174882424000041/bsig-20240930.htm
AAOI,"APPLIED OPTOELECTRONICS, INC.",Chih-Hsiang Lin,Unknown,Present,Wikipedia (scraped),https://en.wikipedia.org/wiki/Applied_Optoelectronics
AAP,ADVANCE AUTO PARTS INC,Lawrence P. Castellani,,2005-05-24,8-K,https://www.sec.gov/Archives/edgar/data/1158449/000115844905000105/aap8k_052405.htm
AAP,ADVANCE AUTO PARTS INC,Michael N. Coppola,2005-05-24,2007-05-07,8-K,https://www.sec.gov/Archives/edgar/data/1158449/000115844905000105/aap8k_052405.htm
AAP,ADVANCE AUTO PARTS INC,John C. Brouillard,2007-05-07,2008-01-07,8-K,https://www.sec.gov/Archives/edgar/data/1158449/000115844907000074/aap8k.htm
AAP,ADVANCE AUTO PARTS INC,Darren R. Jackson,2008-01-07,2016-01-02,8-K,https://www.sec.gov/Archives/edgar/data/1158449/000115844907000176/aap8k.htm
AAP,ADVANCE AUTO PARTS INC,George E. Sherman,2016-01-03,2016-04-11,8-K,https://www.sec.gov/Archives/edgar/data/1158449/000115844915000187/a8k_11x11x2015.htm
AAP,ADVANCE AUTO PARTS INC,Thomas R. Greco,2016-04-11,2023-09-11,8-K,https://www.sec.gov/Archives/edgar/data/1158449/000115844916000365/a8k_4x4x2016.htm
AAP,ADVANCE AUTO PARTS INC,Shane M. O'Kelly,2023-09-11,Present,8-K,https://www.sec.gov/Archives/edgar/data/1158449/000119312523218433/d508220d8k.htm
AAT,"American Assets Trust, Inc.",John W. Chamberlain,,2015-09-14,8-K,https://www.sec.gov/Archives/edgar/data/1500217/000162828015007099/a8k_2015x09xchamberlain.htm
AAT,"American Assets Trust, Inc.",Ernest W. Rady,2015-09-14,2025-01-01,8-K,https://www.sec.gov/Archives/edgar/data/1500217/000162828015007099/a8k_2015x09xchamberlain.htm
AAT,"American Assets Trust, Inc.",Adam Wyll,2025-01-01,Present,8-K,https://www.sec.gov/Archives/edgar/data/1500217/000150021724000043/aat-20240730.htm
ABAT,AMERICAN BATTERY TECHNOLOGY Co,Craig Alford,2016-05-31,2017-02-15,8-K,https://www.sec.gov/Archives/edgar/data/1576873/000107878216002947/f8k060616_8k.htm
ABAT,AMERICAN BATTERY TECHNOLOGY Co,Michael Mason,2017-02-15,2017-08-07,8-K,https://www.sec.gov/Archives/edgar/data/1576873/000107878217000246/f8k022117_8k.htm
ABAT,AMERICAN BATTERY TECHNOLOGY Co,Douglas Cole,2017-08-07,2021-08-27,8-K,https://www.sec.gov/Archives/edgar/data/1576873/000107878217001083/f8k081117_8k.htm
ABAT,AMERICAN BATTERY TECHNOLOGY Co,Ryan Melsert,2021-08-27,Present,8-K,https://www.sec.gov/Archives/edgar/data/1576873/000149315221021498/form8-k.htm
ABCB,Ameris Bancorp,Edwin W. Hortman Jr.,,2018-07-05,8-K,https://www.sec.gov/Archives/edgar/data/351569/000114420418033090/tv496032_8-k.htm
ABCB,Ameris Bancorp,Dennis J. Zember,2018-07-05,1981-01-01,8-K,https://www.sec.gov/Archives/edgar/data/351569/000114420419033242/tv524542_8k.htm
ABCB,Ameris Bancorp,Eugene M. Vereen,1981-01-01,2008-04-06,8-K,https://www.sec.gov/Archives/edgar/data/351569/000035156908000010/form8k.htm
ABCB,Ameris Bancorp,Dennis J. Zember Jr.,2018-07-05,2019-06-28,8-K,https://www.sec.gov/Archives/edgar/data/351569/000114420418033090/tv496032_8-k.htm
ABCB,Ameris Bancorp,H. Palmer Proctor,2019-06-28,Present,8-K,https://www.sec.gov/Archives/edgar/data/351569/000114420419033242/tv524542_8k.htm
ABEO,ABEONA THERAPEUTICS INC.,Kerry Gray,,2005-05-10,8-K,https://www.sec.gov/Archives/edgar/data/318306/000031830605000011/r8k-093.txt
ABEO,ABEONA THERAPEUTICS INC.,Rosemary Mazanet,2005-05-10,2007-01-04,8-K,https://www.sec.gov/Archives/edgar/data/318306/000031830607000005/r8k-140.txt
ABEO,ABEONA THERAPEUTICS INC.,Stephen R. Seiler,2007-01-04,2007-12-19,8-K,https://www.sec.gov/Archives/edgar/data/318306/000031830607000005/r8k-140.txt
ABEO,ABEONA THERAPEUTICS INC.,Jeffrey B. Davis,2007-12-26,2014-09-19,8-K,https://www.sec.gov/Archives/edgar/data/318306/000031830607000065/r8k-237.htm
ABEO,ABEONA THERAPEUTICS INC.,Scott W. Schorer,2014-09-19,2015-05-06,8-K,https://www.sec.gov/Archives/edgar/data/318306/000031830614000027/r8k-530.htm
ABEO,ABEONA THERAPEUTICS INC.,Tim Miller,2015-05-06,2018-03-29,8-K,https://www.sec.gov/Archives/edgar/data/318306/000031830615000013/r8k-560.htm
ABEO,ABEONA THERAPEUTICS INC.,Frank Carsten Thiel,2018-03-29,2018-11-26,8-K,https://www.sec.gov/Archives/edgar/data/318306/000114420418018693/tv490170_8k.htm
ABEO,ABEONA THERAPEUTICS INC.,Joao Siffert,2018-11-26,2020-09-23,8-K,https://www.sec.gov/Archives/edgar/data/318306/000114420418062416/tv507897_8k.htm
ABEO,ABEONA THERAPEUTICS INC.,Michael Amoroso,2021-03-19,2021-10-14,8-K,https://www.sec.gov/Archives/edgar/data/318306/000149315221006620/form8-k.htm
ABEO,ABEONA THERAPEUTICS INC.,Vishwas Seshadri,2021-10-15,Present,8-K,https://www.sec.gov/Archives/edgar/data/318306/000149315221023269/form8-k.htm
ABG,ASBURY AUTOMOTIVE GROUP INC,Kenneth B. Gilman,,2007-05-04,8-K,https://www.sec.gov/Archives/edgar/data/1144980/000110465907011465/a07-4578_28k.htm
ABG,ASBURY AUTOMOTIVE GROUP INC,Charles R. Oglesby,2007-05-04,2011-02-09,8-K,https://www.sec.gov/Archives/edgar/data/1144980/000110465907011465/a07-4578_28k.htm
ABG,ASBURY AUTOMOTIVE GROUP INC,Craig T. Monaghan,2011-02-09,2017-12-31,8-K,https://www.sec.gov/Archives/edgar/data/1144980/000119312511030118/d8k.htm
ABG,ASBURY AUTOMOTIVE GROUP INC,David W. Hult,2018-01-01,2026-05-04,8-K,https://www.sec.gov/Archives/edgar/data/1144980/000114498017000119/a8-k.htm
ABG,ASBURY AUTOMOTIVE GROUP INC,Daniel E. Clara,2026-05-04,Present,8-K,https://www.sec.gov/Archives/edgar/data/1144980/000114498026000083/abg-20251208.htm
ABM,ABM INDUSTRIES INC /DE/,Henrik C. Slipsager,2000-11-01,2015-03-31,8-K,https://www.sec.gov/Archives/edgar/data/771497/000157104915000264/t1500089_8k.htm
ABM,ABM INDUSTRIES INC /DE/,Scott Salmirs,2015-03-31,Present,8-K,https://www.sec.gov/Archives/edgar/data/771497/000157104915000264/t1500089_8k.htm
